name,addr1,addr2,city,state,zip,Phone,Fax,email,contact
AG SOD FARMS,P.O. BOX 130,,PERRIS,CA,92572-0130,(800) 233-5254,(951) 928-4023,,"YOLANDA, STEPHANIE"
BARBEQUES GALORE *,2300 HARBOR BLVD. # H,,COSTA MESA,CA,92626,(   )    -,,,
SAF T CO,1300 E. NORMANDY PLACE,,SANTA ANA,CA,92705,(714) 547-9975,(714) 547-2983,,(MARGO)
AGUINAGA FERTILIZER,4790 IRVINE BLVD.  #105-418,,IRVINE,CA,92620,(949) 786-9558,(949) 786-9574,760 576 6401,
ORANGE COAST FORD TRACTOR,1451 MANHATTAN AVE.,,FULLERTON,CA,92831,(714) 538-2116,(714) 771-1282,,
GALLO'S NURSERY,P.O. BOX 3367,,SO. EL MONTE,CA,91733-4136,(626) 279-2540,,,
SURFACE AMERICA,P.O. BOX 157,,WILLIAMSVILLE,NY,14231,(000) 000-0000,,,
NEW EARTH CONSTRUCTION,"23011 MOULTON PARKWAY, STE. F5",,LAGUNA HILLS,CA,92653-1226,(714) 859-4007,,,
GROWEST NURSERIES,,1700 GROWEST AVENUE,RIVERSIDE,CA,92504-5307,(951) 780-1552,(951) 780-6676,,RUSS KELLY  951 768 6944
EL TORO MATERIALS,20851 EL TORO RD.,,EL TORO,CA,92630,(949) 458-7993,,,
ARCHITECTURAL POTTERY,15161 VAN BUREN,,MIDWAY CITY,CA,92655,(714) 895-3359,(714) 898-5109,,DAWN
GOODWIN INTERNATIONAL  *,3121 SOUTH OAK STREET,,SANTA ANA,CA,92707,(714) 241-0942,(714) 241-1874,,(GRACIE)
ORANGE COAST PETROLEUM EQ,1015 N PARKER AVENUE,,ORANGE,CA,92667,(714) 744-4049,(714) 744-0638,,VICTOR 714 822 4221
NOLTRE NURSERY SERVICES,P.O. BOX 892093,,TEMECULA,CA,82589,(909) 695-2037,,,
AMERICAN FENCE COMPANY,P.O. BOX 18886,,PHOENIZ,AZ,85005-8886,(562) 941-3478,,,
ALANS LAWNMOWER & GARDEN,4621 W. FIRST STREET,,SANTA ANA,CA,92703,(714) 775-1250,(714) 775-2071,,SOPHIA
DESIGNED II,32183 OLD 395,,ESCONDIDO,CA,92026,(760) 728-2641,(760) 451-0265,,ALENE
COAST RECREATION *,3151 AIRWAY AVE. #A-3,,COSTA MESA,CA,92626,(714) 619-0100,(714) 619-0106,,
ALL VALLEY ENVIRONMENTAL,P.O. BOX 7003,,BIG BEAR LAKE,CA,92315-7003,(714) 534-8841,,,
JODAN FARMS,26550 PABESU ROAD,,MURRIETA,CA,92562,(909) 679-9009,(909) 679-2171,,JULIA
"ALLSTAR PAVING CO., INC.","1540 E. EDINGER, STE. E",,SANATA ANA,CA,92705,(   )    -,,,.
CALIFORNIA LANDSCAPE,LIGHTING,31260 CEDAR VALLEY DRIVE,WESTLAKE VILL.,CA,91362,(800) 457-0710,,,
COLUMBIA CASCADE *,"1300 S.W. SIXTH AVE., #310",,PORTLAND,OR,97201-3464,(800) 547-1940,(503) 223-4530,HQ@TIMBERFORM.COM,
"BELANGER BROS.AUTOMOTIVE,INC.",813 N. ANAHEIM BLVD.,,ANAHEIM,CA,92805-1902,(714) 535-4444,(714) 535-3955,,(PATTY)
NORMAN'S NURSERY,8665 EAST DUARTE ROAD,,SAN GABRIEL,CA,91730,(626) 237-0648,(626) 237-0657,,(NANCY)
NEFF RENTAL,1354 N. RED GUM,,ANAHEIM,CA,92806,(714) 632-1701,(714) 632-1986,,
PACIFIC TECHNICAL SERVICES,P.O. BOX 116,,NOVATO,CA,94948-0116,(800) 427-0779,,,
"TFN ARCHITECHTURAL SIGNAGE,INC",3411 W. LAKE CENTER DR.,,SANTA ANA,CA,92704,(714) 556-0990,(714) 850-4888,,
HOME DEPOT CREDIT SERVICES,DEPT.32- 2001467285,PO BOX 6029,THE LAKES,NV,88901-6029,(800) 685-6691,,,
DURA ART STONE *,,"1785 LOCUST STREET, SUITE 11",PASADENA,CA,91106,(800) 821-1120,(626) 577-6006,,judy   (CAROLYN 650-965-7100)*
EARTH WORKS SOIL AMENDMENT,1725 AGUA MANSA ROAD,,RIVERSIDE,CA,92509,(951) 782-0260,(951) 782-0268,,909-538-3322 JIM  (MARIA)
ORANGE-PACIFIC CONSTRUCTION,601 N. BATAVIA,,ORANGE,CA,92868,(714) 288-0489,(714) 288-0653,,(MARIE- 627-2173)  (DAN)
MISSION POOLS,755 WEST GRAND AVE.,,ESCONDIDO,CA,92025,(760) 743-2605,(760) 743-0384,,RICK HACKETT
SERVICE 1ST,2681 DOW STREET,SUITE A,TUSTIN,CA,92780,(714) 508-0210,(714) 508-7481,,CATHRINE
ADVANTAGE CONCR. CUTTING,229 LEANDRO STREET,,ANAHEIM,CA,92807,(714) 630-8338,(   )    -,,PHILIP LAUCK
JOE T. MORALES,31391 PASEO RIOBO,,SAN JUAN CAPIS,CA,92675,(949) 573-7021,,,FAX 949 240 6837
NATIONAL CONSTRUCTION RENTALS,P.O. BOX 4503,10403 GLENOAKS BLVD,PACOIMA,CA,91333-4503,(   )    -,(   )    -,,jenny-collections dept.
PACIFIC SHORES MASONRY,1369 WALKER LANE,,CORONA,CA,92879,(951) 371-8550,(951) 371-9075,,
MONROE PACIFIC WHOLESALE,10449 E. ADAMS AVENUE,,HUNTINGTON BCH,CA,92646,(   )    -,,,
PETE'S ROAD SERVICE,2230 E. ORANGETHORPE AVE.,,FULLERTON,CA,92831-5329,(310) 324-8200,(   )    -,,"MELADEE,(MELISA)"
ORANGE COUNTY SANDBAGGER,2424 N. BATAVIA STREET,PO BOX 3101,ORANGE,CA,92865,(714) 637-2000,(714) 637-5378,,
"COMLOGIX, INC.","2211 E. WINSTON ROAD, STE F",,ANAHEIM,CA,92806,(714) 234-2180,(714) 234-2199,,
AQUARIUS POOLS & SPA,"27068 LA PAZ ROAD, SUITE 445",,ALISO VIEJO,CA,92856-3041,(949) 831-7900,(949) 831-5886,,
WEST COAST SAND & GRAVEL,P.O. BOX 5067,,BUENA PARK,CA,90620,(714) 522-0282,(714) 562-2758,,HARLY
UNDERGROUND SHORING SPEC.,1400 E ORANGETHORPE AVENUE,,FULLERTON,CA,92831-5228,(714) 879-1005,(714) 879-4612,,
BROTHERS NURSERY,5724 N. WILLARD AVE.,,SAN GABRIEL,CA,91775,(909) 599-3469,(909) 599-8192,,ROMAN O PABLO
NATURES GROWERS,1621 S. EUCLID,,ANAHEIM,CA,92802,(714) 999-1190,(714) 635-7327,,RODOLFO
EVERHOT MANUFACTURING,57 SO. 19TH AVENUE,,MAYWOOD,IL,60153,(708) 865-7070,,,
STANDARD CONCRETE PRODUCT,P.O. BOX 15326,,SANTA ANA,CA,92705,(714) 245-1550,(714) 245-2973,,
B&B STEEL INC.,5122 PATTERSON AVE.,,PERRIS,CA,92571,(951) 657-0654,(951) 943-1200,,JIM
"BOYCE INDUSTRIES, INC.",1105 POINSETTIA STREET,,SANTA ANA,CA,92701,(714) 667-7111,,,
POWER PLUS UTILITY SERVICES,681 SOUTH PARKER ST.,SUITE 300,ORANGE,CA,92868,(714) 764-0020,(714) 630-3440,,
"SUPERIOR WALL SYSTEMS, INC.","1200 N. JEFFERSON, SUITE J",,ANAHEIM,CA,92807,(714) 666-2680,,,
BC WIRE ROPE & RIGGING,2720 E. REGAL PARK DRIVE,,ANAHEIM,CA,92806-2417,(800) 669-5919,,,
"CRANE RENTAL SERVICE, INC",1901 WEST COLLINS STREET,,ORANGE,CA,92867,(714) 997-3100,(714) 771-5800,,MITCH
COUNTRY CASUAL *,7601 RICKENBACKER DRIVE,,GAITHERSBURG,MD,20879,(800) 284-8325,(301) 926-9198,,KAREN ROTHBAUM
THE LANDSCAPE CENTER *,2995 VAN BUREN,A-13 PMB 235,RIVERSIDE,CA,92503,(951) 352-8383,(951) 352-3655,LEE@TLCNURSERIES.COM,951/352-5824 direct fax
CONTRACTOR'S EQUIPMENT CO,P.O. BOX 80548,,SAN DIEGO,CA,92138,(   )    -,,,CARMELO
PACIFIC COAST NURSERY *,1924 MONROE STREET,,RIVERSIDE,CA,92504,(951) 689-1777,(951) 689-1640,,STEVE ADAMS
ROBERTSON INDUSTRIES,2146 WEST SHERMAN,,PHOENIX,AZ,85009,(602) 265-7715,,,RICHARD
PARDEE TREE NURSERY,P.O. BOX 240,,BONSALL,CA,92003-0240,(760) 630-5400,(760) 630-8276,,ZACH DAVIS
VALLEY CREST TREE CO.,24151 VENTURA BLVD.,,CALABASAS,CA,91302,(805) 524-3939,(805) 524-4354,,BILL
PRAXAIR DISTRIBUTION,DEPT LA21511,,PASADENA,CA,91185-1511,(714) 547-6684,(714) 542-6689,,(CHERLY/BILL ERDLE-564-7332)
EXCAVATION SUPPLY,PO BOX 2829,,CORONA,CA,92878-2829,(800) 624-1727,(800) 865-8910,,(LANA)
DITCH WITCH OF SOUTHERN CALIF.,1201 E. SIXTH STREET,,CORONA,CA,92879,(800) 491-9004,(909) 735-8480,,JESSE
MOCKINGBIRD NURSERY,1670 JACKSON,,RIVERSIDE,CA,92504,(951) 522-1118,,,951 780 4037  JOANNIE
DM COLOR EXPRESS,P.O. BOX 220,,SAN JUAN CAPIS,CA,92693,(760) 732-3501,(949) 496-9474,,org fax 714 921 1004
PLANT STAND,2972 A CENTURY PLACE,,COSTA MESA,CA,92626,(714) 966-0797,,,
RICHARD W. VEYNA & ASSOC.,15188 CARRETERA DRIVE,,WHITTIER,CA,90605,(   )    -,,,
DL CUNNINGHAM,441 OLD NEWPORT BLVD.,,NEWPORT BEACH,CA,92663-4231,(949) 261-7191,(949) 261-7199,,CAROL
IMPERIAL SPRINKLER,1485 N. MANASSERO STREET,,ANAHEIM,CA,92807,(714) 792-2925,(714) 792-2921,,MANUEL
"RK INDUSTRIES, INC.",PMB 446,2431-B 160 ANTONIO PARKWAY,RNCHO SNTA MARTA,CA,92688,(949) 459-2047,,,
KEG GRAPHICS,7309 MURDY CIRCLE,,HUNT. BEACH,CA,92647,(714) 841-1131,,,(JIM)
BC TURF,2300 NEWPORT BOULEVARD,,COSTA MESA,CA,92627,(714) 645-5020,,,
NEENAH FOUNDRY,BOX 729,,NEENAH,WI,54956-0729,(414) 725-7000,,,
PARK SPECIALTIES,P.O. BOX 891833,,TEMECULA,CA,92589-1833,(800) 399-8484,(760) 728-1177,,ROBERT
ENVIRONMENTAL LANDSCAPE,"PRODUCTS, INC.",24121 VENTURA BLVD.,CALABASAS,CA,91302,(818) 737-2600,(949) 553-9115,,CAROL
"DITCH WITCH OF SO.CA,SAN DIEGO","1702 N. MAGNOLIA AVE, 102",,EL CAJON,CA,92020,(619) 448-0770,,,
RSA SUTTER SOIL PRODUCTS,701 W. GROVE AVE.,,ORANGE,CA,92665,(714) 998-7720,(714) 921-9612,,JOHN
SMITH & HAWKEN,4 HAMILTON LANDING,,NOVATO,CA,94949,(415) 389-8300,,,
EL MAISTRO TRANSMISSION,376 E. ORANGETHORPE AVE.,,PLACENTIA,CA,92670,(714) 572-1086,(714) 572-1096,,ROGER
LAGUNA KOI PONDS,20452 LAGUNA CANYON RD,,LAGUNA BEACH,CA,92651,(000) 000-0000,,,
"TRAFFIC CONTROL SVC, INC.",1881 BETMOR LANE,,ANAHEIM,CA,92805-6701,(714) 935-2875,(714) 937-1070,,
HAULAWAY STORAGE CONTAINERS,P.O. BOX 186,,STANTON,CA,90680-0186,(714) 826-9040,(714) 893-7833,,BIATRIZ
J & M SERVICE INC.,11532 ANABEL AVE.,,GARDEN GROVE,CA,92643,(714) 530-3325,(714) 638-8572,,
VILLA D'ESTE,13551 HARBOR BLVD.,,GARDEN GROVE,CA,92643,(714) 537-8443,,,
Z BEST CONCRETE,2575 MAIN ST.,,RIVERSIDE,CA,92501-2238,(909) 785-5542,,,
TRIDENT METALS,1430 E. WALNUT AVE,,FULLERTON,CA,92832,(000) 000-0000,,,
VILLAGE NURSERIES WHOLESALE *,P.O. BOX 5465,,ORANGE,CA,92863-5465,(714) 279-3100,(714) 279-3130,,JOHN
HOLLYWWOOD ELECTRIC,P.O. BOX 85626,,LOS ANGELES,CA,90072,(800) 469-3637,(626) 433-4839,,FELICIA
"UNIVAR USA, INC.",FILE 56019,,LOS ANGELES,CA,90074-6019,(714) 939-1928,(714) 939-1935,,MARY/(425-889-3604)
HSBC BUSINESS SOLUTIONS-COSTCO,P.O. BOX 5219,,CAROL STREAM,IL,60197-5219,(   )    -,,,
VILLA LANDSCAPE PRODUCTS,18363 PASADENA ST.BLDG. J,,LAKE ELSINORE,CA,92530,(714) 630-3181,(866) 808-4552,,TERRY
"SOIL & PLANT LABORATORY,INC.",P.O BOX 6566,,ORANGE,CA,92613-6566,(714) 282-8777,,,christina
CARTER CO.,P.O. BOX 100366,,PASADENA,CA,91189-0366,(714) 579-1181,,,
SANDERS HYDRO-SEEDING INC,17130 VAN BUREN BLVD  # 424,,RIVERSIDE,CA,92504,(951) 789-6821,(951) 789-6921,,TREVER
J.J. KELLER & ASSOCIATES,3003 W. BREEZEWOOD LANE,,NEENAH,WI,54957-0548,(920) 722-2848,,,
"CARTRIDGE RENEW, INC.","635 N. ECKHOFF ST, Q",,ORANGE,CA,92868,(714) 634-1822,,,
CEJA LANDSCAPE,906 E. OCCIDENTAL,,SANTA ANA,CA,92707,(   )    -,,,
J & B AUTO PARTS,1700 NORTH TUSTIN AVENUE,,ORANGE,CA,92865-4603,(714) 637-3670,(714) 637-0322,,NILA
CODEKAS TOOL AND EQUIPMENT DBA SNAP-ON,630 BRIARWOOD DRIVE,,BREA,CA,92821,(714) 713-1159,,,NICK CODEKAS
SOUTHWEST BOULDER & STONE,5002 2nd STREET,,FALLBROOK,CA,92028,(760) 497-2390,(760) 451-3335,,MICHELLE
HOME OIL CO. OF ANAHEIM,1422 WEST BROADWAY,,ANAHEIM,CA,92802-3580,(714) 535-2126,(714) 535-6374,,
KRC ROCK,PO BOX 729,,SAN MARCOS,CA,92079-0729,(760) 744-1036,(760) 744-4814,,
FAIRWAY FORD,1350 E. YORBA LINDA BLVD.,,PLACENTIA,CA,92670,(714) 524-1200,(714) 996-5610,,TONY   (MICHELLE)
JAUREGUI NURSERY,551 W. ALONDRA BLVD.,,GARDENA,CA,90247,(310) 327-6642,,,
"HYDRO-SCAPE PRODUCTS, INC.*",,,LOS ANGELES,CA,90074-6251,(714) 639-1850,(714) 744-4314,,JUAN GARCIA
ZIEMAN TRAILER,120 E. CENTRAL AVENUE,,SAN BERNARDINO,CA,92408-2207,(909) 888-1411,(909) 885-5479,,
CINTAS,15541 MOSHER ST.,,TUSTIN,CA,92780,(714) 639-8577,(714) 639-0744,,LORIE EX-139
BRASS BARON,10151 PACIFIC MESA BLVD.,,SAN DIEGO,CA,92121,(858) 455-0050,,,
ATWOOD LANDSCAPE SALES,719 LAKEVIEW AVENUE,,PLACENTIA,CA,92870-6721,(714) 779-2661,,,(HUGH)
CENTURY PRODUCTS,1144 N. GROVE STREET,,ANAHEIM,CA,92806,(714) 632-7083,(714) 632-5470,,
HAMIL CONCRETE CUTTING,621 ALCOTT AVE.,,PLACENTIA,CA,92670-2702,(714) 993-4599,(714) 993-4599,,CELEST -cell 715-8766
"ECONOMY RENTALS, INC",1771 W. LINCOLN AVE.,,ANAHEIM,CA,92801,(   )    -,,,
CONTINENTAL CHEMICAL,"6910 OSLO CIRCLE, UNIT B",,BUENA PARK,CA,90621,(714) 224-3711,(714) 224-3713,,(AMY)
AYON NURSERY,P. O. BOX 91922,,CITY OF INDUSTRY,CA,91715-1922,(626) 330-2070,(626) 330-2072,,JESUS  626 255 3155
"HARDY & HARPER, INC.",1312 E. WARNER AVENUE,,SANTA ANA,CA,92705,(714) 444-1851,(714) 352-7098,,STEVE-EXT 115-4122613-CELL
OUTDOOR SEASONS,2201 S WABASH STREET,,DENVER,CO,80231,(800) 800-1819,(800) 800-1770,,
MIDAS MUFFLER AND BRAKE,2312 E. LINCOLN AVENUE,,ANAHEIM,CA,92806,(714) 254-0227,,,
LESCO,P.O. BOX 931341,,CLEVELAND,OH,44193-0469,(   )    -,,,
GP RESOURCES,P.O. BOX 499,1006 PIER F AVENUE,LONG BEACH,CA,90801-0499,(562) 983-7300,(562) 983-1438,,ANITA SILVA
LA CRESTA ENTERPRISES,P.O. BOX 5257,,SAN CLEMENTE,CA,92674,(949) 369-6335,,,
TREE OF LIFE NURSERY,33201 ORTEGA HY,,SAN JUAN CAPISTR,CA,92675,(949) 728-0685,(949) 728-0509,,DEBBIE OR JR
ORANGE COAST LANDSCAPING,,,,CA,,,,,RAYMOND
"FERGUSON ENTERPRISES, INC.",P.O. BOX 54228,,LOS ANGELES,CA,90054-0228,(909) 364-8800,,,
ORCO CONSTRUCTION SUPPLY,DEPT. 05891,P.O. BOX 39000,SAN FRANCISCO,CA,94139-5891,(714) 556-8300,,,
BOOSTER PUMP TECHNOLOGIES,P.O. BOX 400668,,HESPERIA,CA,92340,(760) 947-6457,(760) 947-5493,,
SENNA TREE COMPANY,3115 FOOTHILL BLVD.,SUITE M140,LA CRESENTA,CA,91214,(818) 957-5755,(818) 957-5255,,
BEDROCK PUMPING,P.O. BOX 6544,,ORANGE,CA,92863-6544,(949) 240-4645,,,
BERYLWOOD TREE FARM,1048 E. LA LOMA AVE.,,SOMIS,CA,93066,(805) 485-7601,(805) 485-8268,,
GREENWOOD DAYLILY GARDENS *,8000 BALCOM CANYON ROAD,,SOMIS,CA,93066,(562) 494-8944,(562) 494-0486,,
AQUA BACKFLOW AND CHLORINATION,P.O. BOX 396,,WALNUT,CA,91788,(714) 956-1419,(909) 598-1344,,CHRIS
DOUGLAS BENDER AND ASSOCIATES,557 WALD,,IRVINE,CA,92618,(949) 777-4300,(949) 777-4303,,
"KRISTAR ENTERPRISES, INC.",P.O. BOX 7352,,SANTA ROSA,CA,95407,(800) 579-8819,(707) 542-8186,,
SWINGS N' THINGS,23851 VIA FABRICANTE,SUITE 201,MISSION VIEJO,CA,92691,(949) 770-7799,(949) 770-2047,,
HADDONSTONE *,32207 UNITED AVENUE,,PUEBLO,CO,81001,(719) 948-4554,(719) 948-4285,,
QUALITY TURF INC.,21400 BUNDY CYN RD.,,WILDOMAR,CA,,,(909) 695-5670,,
"CALIFORNIA TURF PRODUCTS, INC.",P.O. BOX 30598,,LOS ANGELES,CA,90030-0598,(760) 734-4200,(760) 734-4285,,
JESSICA NURSERY,8940 MISSION BLVD.,,RIVERSIDE,CA,92509,(909) 681-9022,(909) 681-7859,,
TIERRA VERDE INDUSTRIES,P.O. BOX 279,,IRVINE,CA,92650-0279,(949) 551-0363,(949) 551-1532,,RENDY 1949 500 8758
AMISH COUNTRY GAZEBOS & SWINGS,739 EAST FRANCIS STREET,,ONTARIO,CA,91761,(909) 947-3095,(909) 947-2985,,
GREENWAYS ENVIRONMENTAL  LLC,"22365 EL TORO RD., PMB #133",,LAKE FOREST,CA,92630,(949) 380-8301,(949) 380-8352,,DIANE
SEPULVEDA BUILDING MATERIALS,28092 FORBES RD.,,LAGUNA NIGUEL,CA,92677,(949) 347-2100,(949) 347-2102,,
"VAN DELL AND ASSOCIATES, INC.",17801 CARTWRIGHT ROAD,,IRVINE,CA,92614,(949) 474-1400,,,
PRO LANDSCAPE AND,GARDENERS SUPPLIES,1131 N. KRAEMER PL.,ANAHEIM,CA,92806,(800) 457-0710,(714) 533-7540,,
SAN MARCOS GROWERS,P O BOX 68.27,,SANTA BARBARA,CA,93160-6827,(805) 683-1561,(805) 964-1329,,
"JARDINIER PLANTER SYSTEMS, INC",16520 HARBOR BLVD. # F,,FOUNTAIN VALLEY,CA,92708,(714) 241-4200,(714) 241-4203,,
LA CRESTA TREE CO.,3966 RIVER RIDGE DR.,,NORCO,CA,92860-1100,(760) 451-9493,(760) 451-1361,,(DAN CELL: 909-538-4940)
SPJ LIGHTING,,,,CA,,(800) 469-3637,(626) 433-4839,,CHRIS GONZALES
JANSEN ORNAMENTAL SUPPLY CO,10926 SCHMIDT ROAD,,EL MONTE,CA,91733,(626) 422-0271,(626) 444-3847,,
CALIFORNIA STRAW WORKS,5531 STATE AVE,,SACRAMENTO,CA,95819,(916) 453-1456,,,
PACIFIC BELL 949-654-4960,PAYMENT CENTER,,VAN NUYS,CA,91388-0001,(800) 310-2355,,,
"JCT COMPANY, INC.",3435 SOLEDAD CANYON ROAD,,ACTON,CA,93510,(661) 269-4463,(661) 269-0447,,(JUDY)
OROZCO LANDSCAPE AND TREE,11194 PIPELINE AVE,,POMONA,CA,91766,(909) 623-8287,(909) 469-0634,,
"ARAKAWA NURSERY, INC.",PO BOX 1148,,CORONA,CA,92878,(909) 734-4121,(909) 734-5964,,
SEAVY-COPELAND SAWDUST INC.,PO BOX 4450,,ANAHEIM,CA,92803,(909) 946-2792,(909) 946-9033,,
MIRAMAR WHOLESALE NURSERIES,PO BOX 22598,,SAN DIEGO,CA,92192,(949) 283-3081,(858) 552-1314,,VIKY
MCE CONSULTANTS,1100 S. COAST HWY #318,,LAGUNA BEACH,CA,92651,(949) 376-6407,(949) 376-6417,,
P & F DISTRIBUTORS,2376 FIRST STREET,,LA VERNE,CA,91750-5545,(909) 596-6887,(909) 596-7884,,
"SPECTRATURF, INC.",135 S LASALLE  DEPT 2271,,CHICAGO,IL,60674-2271,(909) 734-5617,(909) 735-3738,,
WAKEFIELD COMPANY *,ACCOUNTS RECEIVABLE,PO BOX 60067,IRVINE,CA,92620,(949) 552-1130,(949) 552-1626,,PATTY/ MAYA
"KOMPAN, INC. *",7717 NEW MARKET ST.,,OLYMPIA,WA,98501,(800) 553-2446,(360) 943-3015,,
